ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2387,Iul. Domna,Rome,Female,FALSE,TRUE,Severan,Imperial,,Iulia,Domna,,,,,FALSE,,,,,
2388,Kl. Themistoklea,Athens,Female,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,,Claudia,,Themistoklea,Phillipou,,,FALSE,,,,,"Daughter of Kl. Philippos, daduch"
2389,Kl. Philippos,Athens,Male,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,,Claudius,,Phillipos,Demostratou,,,FALSE,,,,,Daduch
2390,Kl. Menandra,Athens,Female,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,,Claudia,,Menandra,Phillipou,,,FALSE,,,,,"Daughter of Kl. Philippos, daduch"
2391,Nikostrate Meneou,Athens,Female,TRUE,FALSE,,,,,,Nikostrate,Meneou,,,FALSE,,,,,
2392,G. Kasios Semakhidai,Athens,Male,TRUE,TRUE,,,Gaius,Casius,,,Semakhidai,Semakhidai,,FALSE,,,,,
2393,Ail. Epilampsis Gelotos,Athens,Female,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Epilampsis,Gelotos,,,FALSE,14,,,,
2394,Ail. Gelo,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Gelos,,,,FALSE,4,,,,
2395,Diokles,Athens,Male,TRUE,FALSE,,Aelii of Phaleron,,,,Diokles,,,,FALSE,,,,,
2396,Ail. Alexandros,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Alexandros,,,,FALSE,3,,,,
2397,Ail. Ardys,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Ardys,,,,FALSE,7,,,,
2398,Ail. Kallikrates,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Kallikrates,,,,FALSE,8,,,,
2399,Ail. Alexandros II,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Alexandros,,,,FALSE,11,,,,
2400,Ail Gelo II,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,,Aelius,,Gelos,,,,FALSE,12,,,,
2401,P. Pom. Hegios,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,Publius,Pompeius,,Hegios,,,,FALSE,6,,,,
2402,P. Pom. Hegios II,Athens,Male,TRUE,TRUE,,Aelii of Phaleron,Publius,Pompeius,,Hegios,,,,FALSE,7,,,,
2403,Pom. Epilampsis,Athens,Male,FALSE,TRUE,,Aelii of Phaleron,,Pompeius,,Epilampsis,,,,FALSE,8,,,,
2404,T. Fl. Leosthenes II,Athens,Male,TRUE,TRUE,,Alcibiad,Titus,Flavius,,Leosthenes,,,,FALSE,,,,,
2405,Daughter of T. Fl. Leosthenes II,Athens,Female,TRUE,TRUE,,Alcibiad,,Flavia,,,,,,FALSE,134,,,,
2406,Ail. Sossianos Prospaltios,Athens,Male,TRUE,TRUE,,,,Aelius,Sossianos,Prospaltios,,,,FALSE,,,,,
2407,Glaukos,Athens,Male,TRUE,FALSE,,,,,,Glaukos,,,,FALSE,,,,,
2408,Hagne,Athens,Female,TRUE,FALSE,,,,,,Hagne,,,,FALSE,,,,,
2409,Threption,Athens,Male,TRUE,FALSE,,,,,,Threption,,,,FALSE,,,,,
2410,Tereus,Athens,Male,TRUE,FALSE,,,,,,Tereus,,,,FALSE,,,,,
2411,Hermione,Athens,Female,TRUE,FALSE,,,,,,Hermione,,,,FALSE,,,,,
2412,Eutykhides,Athens,Male,TRUE,FALSE,,,,,,Eutykhides,,,,FALSE,,,,,
2413,Euodos,Athens,Male,TRUE,FALSE,,,,,,Euodos,,,,FALSE,,,,,
